Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT-TH_BS-05-A1BJ001,1,BS-05-A1BJ001,C964752
"C1, C2",0603,2,10uF,C1691
J1,PinSocket_1x02_P2.54mm_Horizontal,1,Conn_01x02,
J2,PinHeader_1x02_P2.54mm_Horizontal,1,Conn_01x02,
LED1,LED-SMD_4P-L1.6-W0.8-BR-RD,1,18-225A/R6GHC-A01/3T,C264440
"R1, R2",0603,2,1k,C21190
"R3, R4",0603,2,5.11k,C112314
R5,0603,1,0.4,C5126047
R6,0603,1,100k,C14675
U1,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056_C725790,C725790
USB1,TYPE-C-SMD_TYPE-C-6P_5,1,TYPE-C 6P(073),C668623
